@id,@type,name,wheelchair,toilets:wheelchair,@lat,@lon
1359253332,way,,yes,,38.3722022,-0.4891762
1359531986,way,,yes,,38.3739615,-0.4888186
1359531989,way,,yes,,38.3740030,-0.4885315
1360164269,way,,yes,,38.3724582,-0.4882000
1360164272,way,,yes,,38.3711171,-0.4878634
1360410738,way,,no,,38.3709961,-0.4877050
1360410739,way,,yes,,38.3709279,-0.4878229
1360410742,way,,no,,38.3706437,-0.4877953
1360410744,way,,yes,,38.3709144,-0.4878923
1360410746,way,,yes,,38.3710443,-0.4875587
1360410747,way,,no,,38.3705451,-0.4883262
1361618426,way,,yes,,38.3708975,-0.4889231
1361691550,way,,yes,,38.3709354,-0.4886601
1361691551,way,,yes,,38.3707705,-0.4886159
1361717009,way,,yes,,38.3707852,-0.4885320
1361719217,way,,yes,,38.3710620,-0.4872229
1361719219,way,,yes,,38.3710756,-0.4871431
1361722082,way,,yes,,38.3713508,-0.4853595
1361722086,way,,yes,,38.3713501,-0.4851828
1361722088,way,,yes,,38.3713391,-0.4853003
1361745297,way,,yes,,38.3716958,-0.4866879
1363081315,way,,yes,,38.3709385,-0.4837522
1363081319,way,,yes,,38.3708674,-0.4836214
1363081320,way,,yes,,38.3708685,-0.4837011
1363081322,way,,yes,,38.3705573,-0.4835971
1363081323,way,,yes,,38.3705776,-0.4837311
1363279527,way,,yes,,38.3700762,-0.4752964
1363279528,way,,yes,,38.3700944,-0.4756150
1363279529,way,,yes,,38.3701269,-0.4758811
1363279530,way,,yes,,38.3701629,-0.4761501
1363279531,way,,yes,,38.3702127,-0.4764570
1363279532,way,,yes,,38.3702622,-0.4767625
1363343253,way,,yes,,38.3699641,-0.4836118
1363343254,way,,yes,,38.3699711,-0.4835302
1364295615,way,,yes,,38.3695513,-0.4816559
1364295616,way,,yes,,38.3695219,-0.4816940
1364295617,way,,yes,,38.3694717,-0.4810620
1364305504,way,,yes,,38.3687482,-0.4824763
1364305508,way,,yes,,38.3688009,-0.4813914
1364305509,way,,yes,,38.3688324,-0.4815114
1364427859,way,,yes,,38.3694472,-0.4834766
1364427861,way,,yes,,38.3694001,-0.4832516
1364427869,way,,yes,,38.3699260,-0.4830086
1364427870,way,,yes,,38.3699536,-0.4829927
1364777865,way,,yes,,38.3693439,-0.4832017
1364777869,way,Carrer del Diputat Juan Antonio Rodríguez Marín / Calle Diputado Juan Antonio Rodríguez Marín,yes,,38.3692789,-0.4836242
1364777870,way,Carrer del Diputat Juan Antonio Rodríguez Marín / Calle Diputado Juan Antonio Rodríguez Marín,yes,,38.3692748,-0.4836919
1364777876,way,,yes,,38.3694424,-0.4835618
1364777877,way,,yes,,38.3693508,-0.4836223
1365053688,way,,yes,,38.3695392,-0.4818630
1365053689,way,,yes,,38.3695113,-0.4818235
1365053695,way,,no,,38.3696901,-0.4824826
1365368608,way,,yes,,38.3705777,-0.4809865
1365368609,way,,limited,,38.3705412,-0.4811823
1365368610,way,,yes,,38.3704037,-0.4809179
1365368611,way,,yes,,38.3704769,-0.4809265
1365368612,way,,yes,,38.3705238,-0.4809456
1365368614,way,,yes,,38.3713034,-0.4787491
1366292597,way,,limited,,38.3704511,-0.4812972
1368474556,way,,yes,,38.3715749,-0.4834323
1381183203,way,,yes,,38.3728611,-0.5024943
1381692142,way,,yes,,38.3735424,-0.5014901
1423054620,way,,yes,,38.3382873,-0.4872285
1433777350,way,,yes,,38.3706761,-0.4818518
1433777351,way,,yes,,38.3707487,-0.4818649
1443190753,way,Mercadona,yes,,38.3606606,-0.4901893
1446359363,way,,yes,,38.3693165,-0.4813295
1446359364,way,,yes,,38.3693243,-0.4810418
1446359368,way,,yes,,38.3692923,-0.4816596
1446359373,way,,yes,,38.3692624,-0.4816145
1447441477,way,,yes,,38.3694855,-0.4823236
1447441478,way,,yes,,38.3695802,-0.4823740
1447441480,way,,yes,,38.3695493,-0.4823313
1447441481,way,,yes,,38.3696004,-0.4818788
1447441483,way,,yes,,38.3696330,-0.4818431
